,Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
162069,114789.0,2.05742590420077,-0.157691265768727,-1.12355151770653,0.405414252388049,-0.197283723544364,-1.12054442390202,0.0779734601226021,-0.228752316435576,0.747093086430559,0.104146333386658,-0.981468441146848,-0.275111576489642,-1.26336243043915,0.542705379689847,0.239105190778124,-0.0805769024660072,-0.180967086314627,-0.771688523123445,0.109808769896794,-0.313994163376161,-0.303379260536813,-0.797837518925406,0.354268082675799,-0.120359810836224,-0.349241181544576,0.209907882562586,-0.0763835181412204,-0.0640808790481356,1.79,0
12362,21656.0,1.18524312596198,0.145800627617194,0.740425331761922,1.03589960750446,-0.281894754480965,-0.0572498187107567,-0.22961649878972,-0.10405361880059,1.74013737052196,-0.659046127619253,0.561782065224019,-1.39233763677284,2.60282695723744,1.06328587586186,-1.00063215777619,-0.736706412063807,1.04064772196264,-0.867958835337731,-0.381708632984119,-0.130634179017576,-0.199199160761692,0.0075798646951794,-0.0597794047192419,0.115902567102416,0.525528969622752,0.425372652235289,-0.0193701434832207,0.0034449337259964,6.99,0
75653,56181.0,1.26848962492088,-0.0883331729248763,0.0329148129772643,0.514662594828298,0.218644988327363,0.698346239507428,-0.246420023752964,0.125362536843551,0.699393822755375,-0.268422988303694,-1.77862494642247,0.207339149220224,0.364889688068891,-0.300075883111414,-0.045107525640244,-0.229122237025583,-0.162736340661719,-0.583031842109804,0.354285214958525,-0.0863982857019032,-0.16815781701417,-0.199341256266107,-0.218852433195521,-1.25309421230314,0.669351479826913,0.526074569655249,0.0012813831927939,-0.0040748465302116,11.5,0
5606,5770.0,1.20735813872415,-5.30197758176823e-05,-1.05465958365633,0.493348776631105,2.23082175489763,3.66487674257819,-0.491326986620042,0.760683121344594,1.45381861536571,-0.403076018377265,0.405658623845999,-2.26953549151098,1.42244247569688,1.63305213955486,-0.884774616847353,-0.12652113357652,0.222387948030274,0.203314555512631,0.150589931773181,-0.0198347799571111,-0.315423464506382,-0.683176413387341,-0.141762318566161,0.950417722230795,0.858867764746932,-0.368485888345945,-0.007165628712426,0.0113638418578873,38.95,0
205402,135731.0,2.23657753335056,-0.953718147767889,-2.21834591057862,-2.98802634525194,-0.0686444787362651,-0.957233491774524,-0.0909640223074255,-0.351093630681207,0.421966275622881,-0.239121610089376,0.817494796252957,1.49414835484956,0.919626730855911,0.514781291310631,0.31154167481725,-2.65171178838258,-0.170423996660195,1.64114439612528,0.695836113737265,-0.524074009280348,-0.201613657267525,0.13182088228065,0.0161055035543893,0.311598794948324,0.409511780457079,-0.72738640371344,0.0335464982632322,-0.0624284135325934,15.0,0
2490,2061.0,-1.95895535098644,-2.72237315524319,0.0656364402247203,-2.05158771429037,0.435947021130594,4.50936675580659,0.781314242539595,0.993880595941217,-0.800422358750978,-0.763860675899649,-0.827635490457278,-0.819204772981189,0.0204701974198347,-0.825142493799571,-1.04298027188586,1.31726178318109,-0.0742022402239467,-0.73467189608564,0.644862291382648,1.69679391059982,0.446619998425243,-0.0644347373088856,1.33329290981188,0.945037490336934,0.535139988467224,-0.381992077980819,-0.126417452800734,0.152883403553798,624.03,0
119524,75481.0,1.29618376520323,0.676299498786803,-0.700950820676689,1.16020529683518,0.455074944299493,-0.781093914216545,0.27001027121363,-0.172423594002102,0.0231535012161963,-0.669265546963595,-0.688572585534376,-0.5896287514674,-0.285594611095411,-1.31210395789079,1.190758522252,0.857796211166073,0.611388062791151,0.911062871269856,-0.307200326262517,-0.0952907500170007,-0.127027518393425,-0.305857439217202,-0.223415036601219,-0.611837050826371,0.790061561210462,-0.273516132478493,0.0318063057561631,0.0480680565588936,1.0,0
263403,160939.0,-1.58189187145486,0.245795834845529,-1.72054995269936,-0.708673453069943,1.89753659327012,-0.186413330260147,0.851419247890276,-1.92536791726602,-0.271296340614647,0.389214154615864,-0.14320581631236,-0.240406992534226,-1.10260144735572,0.905080374940102,-0.630023562610258,0.163224629022465,-0.905196957527211,0.379882772576971,0.426221632984673,-1.2396689378832,1.5748221334768,0.240629087246906,0.620535754130808,-0.197964094821809,-0.636397529398927,0.246361093266434,0.0089320173365611,0.411130912329016,52.48,0
132182,79886.0,1.20318017831084,-0.0226960814429318,0.0601401164167222,-0.0027909169739102,-0.419369074119479,-1.01932634978873,0.169472298142858,-0.108584662540005,-0.144068645869597,0.0564961986826846,1.33905365545823,0.305034134870864,-1.28721109927812,0.872866079697295,0.288652401602994,0.374787944058071,-0.381698164583638,-0.358165857760931,0.569206533030449,-0.0862707916313152,-0.389661241610597,-1.33450840543907,0.186296363999864,0.304875598296215,0.0183619179619581,0.606470165183101,-0.118049850925471,-0.0043610085875117,34.94,0
208090,136967.0,-0.542400409530134,0.911533873231752,-1.4741532309629,0.631721498330782,1.72108710291092,0.753081271183583,0.962642287165056,0.561995745523309,-1.28668851010108,0.0276289051527972,0.758561859849155,0.947905955913313,0.426396164616945,1.27655153275975,0.279010448270032,-1.25690723058661,0.304290570053192,-0.750287094934054,-0.0687144948612107,0.106501484823304,0.464447493312234,1.34055428776255,0.106997498777285,-1.61467843656979,-0.858327864894908,-0.40750758627981,0.433785954995868,0.204360460106507,75.31,0
